model,MAPE,MASE,RMSE,SMAPE,MAE,sharp_ratio,Directional Accuracy
gru,2.5194540548463307,2.6029905851951716,0.1038677431443358,2.5635520506314737,0.0842575377545654,0.4110691183660507,69.47368421052632
lstm,1.681959530243949,1.7282557499060849,0.0750011953206269,1.6987941070934531,0.0560689417936303,0.1887815838162053,67.89473684210526
resnls,1.7712633143393324,1.4714017610573302,0.076917485124715,1.7915257074142246,0.0590093564415598,0.2288923038313096,70.52631578947368
